source_root	source_path	size_bytes	disposition
../data	arrival_hist/20db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist_layer_summary.csv	2524	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8/arrival_hist.json	13943	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8/arrival_hist.png	40981	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8/arrival_hist_bins.csv	6967	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8/arrival_hist_layer_summary.csv	2536	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8_fixed_sum/arrival_hist.json	13603	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8_fixed_sum/arrival_hist.png	43021	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8_fixed_sum/arrival_hist_bins.csv	6084	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP8_fixed_sum/arrival_hist_layer_summary.csv	2527	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4/arrival_hist.json	13896	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4/arrival_hist.png	45944	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4/arrival_hist_bins.csv	6980	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4/arrival_hist_layer_summary.csv	2530	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4_fixed_sum/arrival_hist.json	13558	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4_fixed_sum/arrival_hist.png	40803	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4_fixed_sum/arrival_hist_bins.csv	5987	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP4_fixed_sum/arrival_hist_layer_summary.csv	2500	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3/arrival_hist.json	13922	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3/arrival_hist.png	47211	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3/arrival_hist_bins.csv	6972	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3/arrival_hist_layer_summary.csv	2507	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist.json	13647	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist.png	48749	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist_bins.csv	6114	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist_layer_summary.csv	2537	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2/arrival_hist.json	13860	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2/arrival_hist.png	47410	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2/arrival_hist_bins.csv	6786	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2/arrival_hist_layer_summary.csv	2539	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist.json	13563	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist.png	41660	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist_bins.csv	5848	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist_layer_summary.csv	2530	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8/arrival_hist.json	13954	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8/arrival_hist.png	40871	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8/arrival_hist_bins.csv	6950	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8/arrival_hist_layer_summary.csv	2562	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8_fixed_sum/arrival_hist.json	13642	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8_fixed_sum/arrival_hist.png	40900	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8_fixed_sum/arrival_hist_bins.csv	6021	external_original_not_selected
../data	arrival_hist/22db/calibration_MXFP8_fixed_sum/arrival_hist_layer_summary.csv	2552	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP4/arrival_hist.json	13930	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP4/arrival_hist.png	42626	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP4/arrival_hist_bins.csv	6851	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP4/arrival_hist_layer_summary.csv	2578	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E2M3/arrival_hist.json	14019	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E2M3/arrival_hist.png	44179	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E2M3/arrival_hist_bins.csv	7021	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E2M3/arrival_hist_layer_summary.csv	2614	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E3M2/arrival_hist.json	13975	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E3M2/arrival_hist.png	43881	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E3M2/arrival_hist_bins.csv	6983	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP6_E3M2/arrival_hist_layer_summary.csv	2587	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP8/arrival_hist.json	14044	external_original_not_selected
../data	arrival_hist/25db/calibration_MXFP8/arrival_hist.png	43065	external_original_not_selected
